
                                             ASSIGNED GROUPS


          DEATH EATERS:                  ORDER OF THE PHOENIX:          DUMBLEDORE'S ARMY:             
            Bill Weasley                   Molly Weasley                  Hermione Granger         
            Draco MALFOY                   Neville Longbottom             Hedwig                   
            Cedric Diggory                 Severus SNAPE                  Kingsley Shacklebolt     
                                           Remus Lupin                    Harry Potter             


          SLUG CLUB:                     S.P.E.W.:                      GRYFFINDOR:                    
            Sirius Black                   Dudley Dursley                 Alastor Moody            
            Tom Riddle AKA Voldemort       Ronald Weasley                 Kreacher                 
            Charlie Weasley                Nymphadora Tonks               Ginny Weasley            
            Fred Weasley                   Kendra Dumbledore              Percival Dumbledore      


          RAVENCLAW:                     HUFFLEPUFF:                    SLYTHERIN:                     
            Gregory Goyle                  Arthur Weasley                 Albus Dumbledore         
            Barty Crouch Sr.               Lavender Brown                 Vernon Dursley           
            Dobby                          George Weasley                 Fleur Delacour           
            Garrick Ollivander             Aberforth Dumbledore           Minerva MCGONAGALL       


          BEAUXBATONS:                   DURMSTRANG:                    MUGGLES:                       
            Barty Crouch Jr.               Petunia Dursley                Cho Chang                
            Arianna Dumbledore             Victor Krum                    Vincent Crabbe           
            CORNELIUS Fudge                James Potter                   Lilly Potter             
            Percy Weasley                  Moaning Myrtle                 Rubeus Hagrid            


