
                                             ASSIGNED GROUPS

            Harry Potter                  Gregory Goyle                 Vincent Crabbe           
            Draco MALFOY                  Fred Weasley                  Ronald Weasley           
            Cho Chang                     Victor Krum                   Aberforth Dumbledore     
            Sirius Black                  Alastor Moody                 Minerva MCGONAGALL       
            Cedric Diggory                Lilly Potter                  Kingsley Shacklebolt     
            Charlie Weasley               Dobby                         Bill Weasley             
            Severus SNAPE                 Albus Dumbledore              Hermione Granger         


            Tom Riddle AKA Voldemort      Ginny Weasley                 Neville Longbottom       
            Vernon Dursley                Percival Dumbledore           Nymphadora Tonks         
            Garrick Ollivander            Fleur Delacour                Dudley Dursley           
            CORNELIUS Fudge               Remus Lupin                   Kendra Dumbledore        
            Rubeus Hagrid                 Barty Crouch Sr.              Barty Crouch Jr.         
            Arthur Weasley                Petunia Dursley               Arianna Dumbledore       
            Percy Weasley                 James Potter                                           


